station_id,lat,lng,state,name
AQW00061705,-14.3306,-170.7136,AS,"PAGO PAGO WSO AP"
FMW00040308,9.4833,138.0833,FM,"YAP ISLAND WSO AP"
FMW00040505,7.4500,151.8333,FM,"CHUUK WSO AP"
GQW00041414,13.5833,144.9167,GU,"GUAM MARSHALL ISLAND"
GQW00041415,13.4836,144.7961,GU,"GUAM INTL AP"
RMW00040604,8.7333,167.7333,MH,"KWAJALEIN"
USC00244558,48.3042,-114.2636,MT,"KALISPELL GLACIER AP"
USW00003017,39.8328,-104.6575,CO,"DENVER INTL AP"
USW00003104,33.6267,-116.1594,CA,"DESERT RESORTS RGNL AP"
USW00003144,32.8342,-115.5786,CA,"IMPERIAL CO AP"
USW00003154,33.3000,-117.3500,CA,"CAMP PENDLETON MCAS"
USW00003159,34.7411,-118.2117,CA,"LANCASTER WM J FOX FLD"
USW00003160,36.6206,-116.0278,NV,"MERCURY DESERT ROCK AP"
USW00003162,36.9261,-111.4478,AZ,"PAGE MUNI AP"
USW00003195,35.9461,-112.1547,AZ,"GRAND CANYON NP AP"
USW00003804,39.3450,-81.4392,WV,"PARKERSBURG WOOD CO AP"
USW00003811,35.5931,-88.9167,TN,"JACKSON MCKELLAR AP"
USW00003812,35.4319,-82.5375,NC,"ASHEVILLE RGNL AP"
USW00003813,32.6847,-83.6528,GA,"MACON MIDDLE GA RGNL AP"
USW00003816,37.0683,-88.7719,KY,"PADUCAH"
USW00003820,33.3644,-81.9633,GA,"AUGUSTA BUSH FLD AP"
USW00003822,32.1300,-81.2100,GA,"SAVANNAH INTL AP"
USW00003850,31.2667,-85.7167,AL,"CAIRNS FLD FT RUCKER"
USW00003852,30.4167,-86.6833,FL,"VALPARAISO HURLBURT FLD"
USW00003855,30.3500,-87.3167,FL,"PENSACOLA FOREST SHERMAN NAS"
USW00003856,34.6439,-86.7861,AL,"HUNTSVILLE INTL AP"
USW00003860,38.3650,-82.5550,WV,"HUNTINGTON TRI STATE AP"
USW00003870,34.8831,-82.2203,SC,"GREER"
USW00003872,37.7836,-81.1231,WV,"BECKLEY RALEIGH CO AP"
USW00003887,39.8344,-88.8656,IL,"DECATUR AP"
USW00003888,33.7792,-84.5214,GA,"ATLANTA FULTON CO AP"
USW00003902,31.0667,-97.8333,TX,"ROBERT GRAY AAF"
USW00003919,38.8000,-97.6500,KS,"SALINA MUNI AP"
USW00003923,37.6167,-97.2667,KS,"WICHITA MCCONNELL AFB"
USW00003927,32.8978,-97.0189,TX,"DALLAS FT WORTH AP"
USW00003928,37.6544,-97.4425,KS,"WICHITA"
USW00003930,34.9167,-92.1500,AR,"LITTLE ROCK AFB"
USW00003931,31.0500,-93.1833,LA,"FT POLK AAF"
USW00003937,30.1250,-93.2158,LA,"LAKE CHARLES"
USW00003940,32.3206,-90.0778,MS,"JACKSON INTL AP"
USW00003945,38.8169,-92.2183,MO,"COLUMBIA RGNL AP"
USW00003947,39.2972,-94.7306,MO,"KANSAS CITY INTL AP"
USW00003954,35.5342,-97.6469,OK,"OKLAHOMA CITY POST AP"
USW00003957,37.2839,-98.5528,KS,"MEDICINE LODGE"
USW00003966,38.6572,-90.6558,MO,"ST LOUIS SPRT OF S L AP"
USW00003975,36.7725,-90.3247,MO,"POPLAR BLUFF MUNI AP"
USW00004724,43.1072,-78.9453,NY,"NIAGARA FALLS INTL AP"
USW00004725,42.1997,-75.9850,NY,"BINGHAMTON"
USW00004726,40.3161,-78.8339,PA,"JOHNSTOWN CAMBRIA CO AP"
USW00004743,43.0833,-70.8167,NH,"PORTSMOUTH PEASE AFB"
USW00004751,41.8031,-78.6403,PA,"BRADFORD RGNL AP"
USW00004787,41.1783,-78.8989,PA,"DUBOIS JEFFERSON CO AP"
USW00004853,41.5175,-81.6836,OH,"CLEVELAND BURKE AP"
USW00012815,28.4339,-81.3250,FL,"ORLANDO INTL AP"
USW00012826,25.4833,-80.3833,FL,"HOMESTEAD AFB"
USW00012833,29.6333,-83.1053,FL,"CROSS CITY AP"
USW00012835,26.5850,-81.8614,FL,"FT MYERS PAGE FLD AP"
USW00012836,24.5550,-81.7522,FL,"KEY WEST INTL AP"
USW00012838,28.1011,-80.6439,FL,"MELBOURNE INTL AP"
USW00012839,25.7906,-80.3164,FL,"MIAMI INTL AP"
USW00012841,28.5453,-81.3331,FL,"ORLANDO EXECUTIVE AP"
USW00012842,27.9619,-82.5403,FL,"TAMPA INTL AP"
USW00012844,26.6847,-80.0994,FL,"WEST PALM BEACH INTL AP"
USW00012850,24.5833,-81.6833,FL,"KEY WEST NAS"
USW00012854,28.7797,-81.2436,FL,"ORLANDO SANFORD AP"
USW00012873,27.9106,-82.6875,FL,"ST PETERSBURG INTL AP"
USW00012888,25.6475,-80.4331,FL,"MIAMI KENDALL TAMIAMI EXEC AP"
USW00012894,26.5361,-81.7550,FL,"FT MYERS SW FL RGNL AP"
USW00012909,29.3833,-98.5833,TX,"SAN ANTONIO KELLY AFB"
USW00012912,28.8614,-96.9303,TX,"VICTORIA RGNL AP"
USW00012916,29.9933,-90.2511,LA,"NEW ORLEANS INTL AP"
USW00012917,29.9506,-94.0206,TX,"PORT ARTHUR SE TX AP"
USW00012919,25.9156,-97.4186,TX,"BROWNSVILLE"
USW00012921,29.5442,-98.4839,TX,"SAN ANTONIO INTL AP"
USW00012924,27.7839,-97.5108,TX,"CORPUS CHRISTI"
USW00012926,27.6833,-97.2833,TX,"CORPUS CHRISTI NAS"
USW00012932,27.7411,-98.0247,TX,"ALICE INTL AP"
USW00012935,28.7247,-96.2536,TX,"PALACIOS MUNI AP"
USW00012959,26.1839,-98.2539,TX,"MCALLEN MILLER INTL AP"
USW00012960,29.9800,-95.3600,TX,"HOUSTON INTERCONT AP"
USW00012962,29.3600,-99.1742,TX,"HONDO MUNI AP"
USW00013702,37.0833,-76.3500,VA,"LANGLEY AFB"
USW00013705,38.8167,-76.8667,MD,"CAMP SPRINGS ANDREWS AFB"
USW00013707,39.1333,-75.4667,DE,"DOVER AFB"
USW00013713,35.3444,-77.9647,NC,"GOLDSBORO 4 SE"
USW00013714,35.1739,-79.0089,NC,"POPE AFB"
USW00013721,38.3000,-76.4167,MD,"PATUXENT RIVER NAS"
USW00013722,35.8922,-78.7819,NC,"RALEIGH DURHAM INTL AP"
USW00013723,36.0969,-79.9433,NC,"PIEDMONT TRIAD INTL AP"
USW00013729,38.8853,-79.8528,WV,"ELKINS RANDOLPH CO AP"
USW00013733,37.3208,-79.2067,VA,"LYNCHBURG RGNL AP"
USW00013734,39.4019,-77.9844,WV,"MARTINSBURG E WV RGNL AP"
USW00013735,39.3667,-75.0667,NJ,"MILLVILLE MUNI AP"
USW00013736,39.6428,-79.9164,WV,"MORGANTOWN HART FLD"
USW00013737,36.9033,-76.1922,VA,"NORFOLK INTL AP"
USW00013739,39.8683,-75.2311,PA,"PHILADELPHIA INTL AP"
USW00013740,37.5050,-77.3203,VA,"RICHMOND INTL AP"
USW00013741,37.3169,-79.9742,VA,"ROANOKE RGNL AP"
USW00013743,38.8483,-77.0342,VA,"WASHINGTON REAGAN AP"
USW00013744,34.1853,-79.7239,SC,"FLORENCE RGNL AP"
USW00013750,36.9500,-76.2833,VA,"NORFOLK NAS"
USW00013754,34.9000,-76.8833,NC,"CHERRY POINT MCAS"
USW00013769,36.8167,-76.0333,VA,"OCEANA NAS"
USW00013773,38.5000,-77.3000,VA,"QUANTICO MCAS"
USW00013802,38.5200,-89.8467,IL,"BELLEVILLE SIU RSCH"
USW00013806,36.6667,-87.4833,KY,"FT CAMPBELL AAF"
USW00013807,37.9000,-85.9667,KY,"GODMAN AFBU FT KNOX"
USW00013810,38.2281,-85.6636,KY,"LOUISVILLE BOWMAN FLD"
USW00013824,32.0167,-81.1333,GA,"SAVANNAH HUNTER FLD"
USW00013829,32.3500,-85.0000,GA,"FT BENNING LAWSON FLD"
USW00013840,39.8333,-84.0500,OH,"WRIGHT PATTERSON AFB"
USW00013846,30.0667,-85.5833,FL,"TYNDALL AFB"
USW00013849,33.9667,-80.4667,SC,"SUMTER SHAW AFB"
USW00013857,30.9667,-83.2000,GA,"VALDOSTA MOODY AFB"
USW00013858,30.4833,-86.5167,FL,"VALPARAISO EGLIN AFB"
USW00013860,32.6333,-83.6000,GA,"WARNER ROBINS AFB"
USW00013865,32.3347,-88.7442,MS,"MERIDIAN KEY FLD"
USW00013866,38.3794,-81.5900,WV,"CHARLESTON YEAGER AP"
USW00013869,31.5356,-84.1944,GA,"ALBANY SW GA RGNL AP"
